fecha,afore,comision_sobre_saldo_pct,total_cuentas,trabajadores_registrados,trabajadores_asignados,trabajadores_imss,trabajadores_issste,rcv_imss_mdp,rcv_issste_mdp,ahorro_voluntario_mdp,recursos_administrados_mdp,recursos_registrados_mdp,vivienda_mdp,entradas_mdp,salidas_mdp,traspasos_cedidos,traspasos_recibidos
1998-10-01,banamex,,1523386.0,1523386.0,,1523386.0,,8322.08,,5.32,8893.2,17335.94,8442.74,,,,
1998-10-01,inbursa,,313608.0,313608.0,,313608.0,,4174.65,,11.03,4365.42,8348.41,3982.99,,,,
1998-10-01,principal,,104444.0,104444.0,,104444.0,,296.05,,0.02,355.23,646.94,291.71,,,,
1998-10-01,profuturo,,1905050.0,1905050.0,,1905050.0,,4385.66,,1.4,4486.69,9076.38,4589.69,,,,
1998-10-01,sura,,1258474.0,1258474.0,,1258474.0,,3960.46,,1.93,4246.02,8456.97,4210.95,,,,
1998-10-01,xxi banorte,,409256.0,409256.0,,409256.0,,2540.4,,0.17,2602.85,5391.03,2788.18,,,,
1998-11-01,banamex,,1546398.0,1546398.0,,1546398.0,,8911.31,,5.6,9472.41,18328.9,8856.49,,,0.0,1.0
1998-11-01,inbursa,,315021.0,315021.0,,315021.0,,4322.33,,13.39,4520.48,8741.3,4220.82,,,0.0,0.0
1998-11-01,principal,,298212.0,298212.0,,298212.0,,872.63,,0.1,973.57,1801.63,828.05,,,14.0,37.0
1998-11-01,profuturo,,1920659.0,1920659.0,,1920659.0,,4739.01,,1.59,4820.8,9638.15,4817.35,,,65.0,0.0
1998-11-01,sura,,1285551.0,1285551.0,,1285551.0,,4282.81,,1.99,4523.93,8774.25,4250.32,,,1.0,0.0
1998-11-01,xxi banorte,,418068.0,418068.0,,418068.0,,2745.93,,0.18,2802.78,5726.1,2923.33,,,5.0,0.0
1998-12-01,banamex,,1568595.0,1568595.0,,1568595.0,,9426.8,,6.0,10095.46,18989.31,8893.85,,,0.0,2.0
1998-12-01,inbursa,,369907.0,369907.0,,369907.0,,4909.61,,22.13,5174.53,9512.09,4337.56,,,5.0,38.0
1998-12-01,principal,,302545.0,302545.0,,302545.0,,946.34,,0.1,1042.64,1882.8,840.16,,,6.0,28.0
1998-12-01,profuturo,,1929819.0,1929819.0,,1929819.0,,4974.46,,1.7,5076.48,9912.15,4835.67,,,83.0,156.0
1998-12-01,sura,,1304719.0,1304719.0,,1304719.0,,4578.97,,2.1,4852.68,9368.95,4516.27,,,28.0,0.0
1998-12-01,xxi banorte,,423813.0,423813.0,,423813.0,,2908.47,,0.2,2977.46,5971.05,2993.59,,,14.0,84.0
1999-01-01,banamex,,1581226.0,1581226.0,,1581226.0,,9974.2,,6.85,10719.17,20012.33,9293.16,,,63.0,34.0
1999-01-01,inbursa,,370971.0,370971.0,,370971.0,,5271.86,,27.94,5526.41,10028.45,4502.04,,,0.0,86.0
1999-01-01,principal,,306434.0,306434.0,,306434.0,,1020.89,,0.12,1117.54,1994.32,876.78,,,12.0,116.0
1999-01-01,profuturo,,1936000.0,1936000.0,,1936000.0,,5320.12,,1.6,5419.97,10472.27,5052.3,,,445.0,298.0
1999-01-01,sura,,1318401.0,1318401.0,,1318401.0,,4952.16,,2.35,5221.07,10074.34,4853.27,,,138.0,336.0
1999-01-01,xxi banorte,,427310.0,427310.0,,427310.0,,3139.78,,0.3,3206.28,6389.83,3183.55,,,13.0,77.0
1999-02-01,banamex,,1597805.0,1597805.0,,1597805.0,,10472.27,,8.1,11222.3,20646.87,9424.57,,,259.0,361.0
1999-02-01,inbursa,,372668.0,372668.0,,372668.0,,5475.27,,35.47,5716.87,10225.18,4508.31,,,1.0,91.0
1999-02-01,principal,,311137.0,311137.0,,311137.0,,1088.58,,0.13,1186.04,2088.45,902.41,,,186.0,91.0
1999-02-01,profuturo,,1944559.0,1944559.0,,1944559.0,,5548.06,,1.94,5810.96,11074.04,5263.07,,,1001.0,255.0
1999-02-01,sura,,1340875.0,1340875.0,,1340875.0,,5258.51,,2.47,5575.91,10534.87,4958.95,,,218.0,950.0
1999-02-01,xxi banorte,,431095.0,431095.0,,431095.0,,3327.91,,0.55,3388.68,6609.68,3221.0,,,4.0,80.0
1999-03-01,banamex,,1624982.0,1624982.0,,1624982.0,,11167.12,,10.94,12085.01,21973.69,9888.68,,,121.0,254.0
1999-03-01,inbursa,,374068.0,374068.0,,374068.0,,5814.06,,47.16,6087.71,10967.65,4879.94,,,22.0,72.0
1999-03-01,principal,,313965.0,313965.0,,313965.0,,1154.9,,0.15,1249.32,2184.97,935.65,,,522.0,39.0
1999-03-01,profuturo,,1956073.0,1956073.0,,1956073.0,,6042.86,,2.35,6477.01,11909.6,5432.59,,,509.0,272.0
1999-03-01,sura,,1371069.0,1371069.0,,1371069.0,,5592.6,,2.9,5952.08,11140.94,5188.86,,,164.0,504.0
1999-03-01,xxi banorte,,436251.0,436251.0,,436251.0,,3499.86,,0.9,3675.45,7010.85,3335.39,,,3.0,78.0
1999-04-01,banamex,,1645764.0,1645764.0,,1645764.0,,11889.8,,12.35,12747.64,23623.0,10875.36,,,67.0,153.0
1999-04-01,inbursa,,375314.0,375314.0,,375314.0,,6062.78,,55.42,6340.93,11332.34,4991.41,,,7.0,139.0
1999-04-01,principal,,315495.0,315495.0,,315495.0,,1204.2,,0.17,1297.87,2328.72,1030.85,,,543.0,120.0
1999-04-01,profuturo,,1964296.0,1964296.0,,1964296.0,,6450.68,,2.7,6555.41,12500.25,5944.83,,,572.0,240.0
1999-04-01,sura,,1398094.0,1398094.0,,1398094.0,,5871.87,,3.25,6222.07,11745.15,5523.08,,,226.0,317.0
1999-04-01,xxi banorte,,441031.0,441031.0,,441031.0,,4037.02,,1.35,4111.78,8151.55,4039.77,,,2.0,72.0
1999-05-01,banamex,,1667949.0,1667949.0,,1667949.0,,12493.24,,14.69,13414.18,24751.26,11337.08,,,139.0,230.0
1999-05-01,inbursa,,376064.0,376064.0,,376064.0,,6408.64,,65.56,6693.23,11977.65,5284.42,,,22.0,72.0
1999-05-01,principal,,318366.0,318366.0,,318366.0,,1331.34,,0.19,1425.11,2590.53,1165.42,,,393.0,108.0
1999-05-01,profuturo,,1974039.0,1974039.0,,1974039.0,,7262.6,,3.26,7367.53,14191.7,6824.17,,,340.0,487.0
1999-05-01,sura,,1422851.0,1422851.0,,1422851.0,,6174.72,,3.63,6515.31,12272.0,5756.68,,,203.0,171.0
1999-05-01,xxi banorte,,446149.0,446149.0,,446149.0,,4318.8,,2.18,4390.24,8673.79,4283.54,,,39.0,109.0
1999-06-01,banamex,,1703162.0,1703162.0,,1703162.0,,12974.08,,16.91,13923.66,25468.07,11544.4,,,214.0,197.0
1999-06-01,inbursa,,377075.0,377075.0,,377075.0,,6604.75,,76.15,6903.33,12496.97,5593.64,,,10.0,222.0
1999-06-01,principal,,322626.0,322626.0,,322626.0,,1410.63,,0.36,1506.39,2728.9,1222.51,,,292.0,80.0
1999-06-01,profuturo,,1984947.0,1984947.0,,1984947.0,,7550.6,,5.51,7663.38,14459.53,6796.15,,,497.0,278.0
1999-06-01,sura,,1450181.0,1450181.0,,1450181.0,,6454.96,,4.63,6659.14,12387.56,5728.42,,,155.0,119.0
1999-06-01,xxi banorte,,451474.0,451474.0,,451474.0,,4468.93,,2.92,4542.58,8660.27,4117.69,,,131.0,86.0
1999-07-01,banamex,,1721537.0,1721537.0,,1721537.0,,13662.72,,20.7,14685.73,26800.43,12114.7,,,173.0,210.0
1999-07-01,inbursa,,377644.0,377644.0,,377644.0,,6996.98,,80.07,7308.72,13081.76,5773.04,,,27.0,156.0
1999-07-01,principal,,327466.0,327466.0,,327466.0,,1547.44,,0.52,1641.73,3015.95,1374.23,,,137.0,132.0
1999-07-01,profuturo,,1991655.0,1991655.0,,1991655.0,,7960.41,,7.14,8089.61,15139.93,7050.31,,,740.0,195.0
1999-07-01,sura,,1476194.0,1476194.0,,1476194.0,,6794.83,,5.57,7010.68,12925.7,5915.03,,,228.0,75.0
1999-07-01,xxi banorte,,457210.0,457210.0,,457210.0,,4721.83,,4.44,4805.15,9082.09,4276.95,,,51.0,104.0
1999-08-01,banamex,,1742930.0,1742930.0,,1742930.0,,14283.32,,23.71,15347.58,27305.5,11957.91,,,170.0,309.0
1999-08-01,inbursa,,378376.0,378376.0,,378376.0,,7180.36,,83.54,7496.31,13361.94,5865.64,,,62.0,204.0
1999-08-01,principal,,332999.0,332999.0,,332999.0,,1628.69,,0.55,1724.08,3152.42,1428.34,,,183.0,113.0
1999-08-01,profuturo,,1998211.0,1998211.0,,1998211.0,,8325.62,,9.3,8462.11,15657.71,7195.59,,,655.0,176.0
1999-08-01,sura,,1499758.0,1499758.0,,1499758.0,,7095.37,,6.15,7358.43,13355.98,5997.54,,,260.0,80.0
1999-08-01,xxi banorte,,462473.0,462473.0,,462473.0,,4875.31,,5.64,4958.43,9287.16,4328.74,,,41.0,112.0
1999-09-01,banamex,,1770523.0,1770523.0,,1770523.0,,15009.56,,29.67,16148.65,28623.18,12474.54,,,333.0,259.0
1999-09-01,inbursa,,378889.0,378889.0,,378889.0,,7627.81,,88.93,7948.99,14106.25,6157.25,,,110.0,128.0
1999-09-01,principal,,337482.0,337482.0,,337482.0,,1680.25,,0.69,1776.69,3207.87,1431.18,,,129.0,186.0
1999-09-01,profuturo,,2002458.0,2002458.0,,2002458.0,,8528.52,,9.47,8917.4,16453.61,7536.2,,,683.0,512.0
1999-09-01,sura,,1516229.0,1516229.0,,1516229.0,,7572.36,,6.35,7892.73,14315.95,6423.22,,,330.0,92.0
